state_code,state_name,district_code,district_name,is_aspirational
1,Jammu & Kashmir,1,Kupwara,1
1,Jammu & Kashmir,2,Badgam,0
1,Jammu & Kashmir,5,Punch,0
1,Jammu & Kashmir,6,Rajouri,0
1,Jammu & Kashmir,7,Kathua,0
1,Jammu & Kashmir,8,Baramula,1
1,Jammu & Kashmir,9,Bandipore,0
1,Jammu & Kashmir,10,Srinagar,0
1,Jammu & Kashmir,11,Ganderbal,0
1,Jammu & Kashmir,12,Pulwama,0
1,Jammu & Kashmir,13,Shupiyan,0
1,Jammu & Kashmir,14,Anantnag,0
1,Jammu & Kashmir,15,Kulgam,0
1,Jammu & Kashmir,16,Doda,0
1,Jammu & Kashmir,17,Ramban,0
1,Jammu & Kashmir,18,Kishtwar,0
1,Jammu & Kashmir,19,Udhampur,0
1,Jammu & Kashmir,20,Reasi,0
1,Jammu & Kashmir,21,Jammu,0
1,Jammu & Kashmir,22,Samba,0
2,Himachal Pradesh,23,Chamba,1
2,Himachal Pradesh,24,Kangra,0
2,Himachal Pradesh,25,Lahul & Spiti,0
2,Himachal Pradesh,26,Kullu,0
2,Himachal Pradesh,27,Mandi,0
2,Himachal Pradesh,28,Hamirpur,0
2,Himachal Pradesh,29,Una,0
2,Himachal Pradesh,30,Bilaspur,0
